programme,source_folder,total_major_units,requirement_structure,competency,status,curriculum_evidence,interpretation,source_pdf,limitations
Physics,物理学,72,"required courses, major electives, streams/specializations",Programming and computing ability,Supporting / Optional,CSC3002 C/C++ Programming C/C++程序設計 3; CSC3100 Data Structures 數據結構 3,Students are expected to use computational tools or programming to solve disciplinary problems.,Study Scheme - PHY_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Physics,物理学,72,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,CSC1006 Artificial Intelligence for; PHY2650 Computational Physics and AI Tools 計算物理與人工智能工; PHY3260 Statistical Physics Foundation for AI 人工智能統計物理基礎 3; CSC3100 Data Structures 數據結構 3,"The programme includes data-centric, digital, analytics, or AI-related training.",Study Scheme - PHY_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Physics,物理学,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,CSC1002 Computational Laboratory 計算機實驗 1; CSC1004 Computational Laboratory; PHY1910 Physics Laboratory I 普通物理實驗（一） 2; PHY1920 Physics Laboratory II 普通物理實驗（二） 2; PHY2610 Mathematical Methods in Physics I 數學物理方法（一） 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - PHY_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Physics,物理学,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,Option L# CHM1001 General Chemistry 普通化學 3; Option M# CHM1011 Honours General Chemistry 普通化學榮譽課程 3; PHY1010 Principles of Physics II; PHY1910 Physics Laboratory I 普通物理實驗（一） 2; PHY1920 Physics Laboratory II 普通物理實驗（二） 2,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - PHY_2024-25 and thereafter_Circular(AB2025_C047).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Bioinformatics,生物信息学,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Supporting / Optional,CSC1001 Introduction to Computer Science:; * The course title of CSC3002 is Introduction to Computer Science: Programming Paradigms for,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - BIM_2021-22 and thereafter_Circular (AB2024_C036).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Bioinformatics,生物信息学,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,MAT1001 Calculus I 微積分（一） 3; MAT1002 Calculus II 微積分（二） 3; MAT2040 Linear Algebra 線性代數 3; STA2001 Probability and Statistics I 概率及統計（一） 3; STA2002 Probability and Statistics II 概率及統計（二） 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - BIM_2021-22 and thereafter_Circular (AB2024_C036).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Bioinformatics,生物信息学,72,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Core,STA2001 Probability and Statistics I 概率及統計（一） 3; BIM3014 Statistical Biological Database and Data; STA2002 Probability and Statistics II 概率及統計（二） 3; STA4012 Statistical Genetics and Genomics 統計遺傳和基因組學 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - BIM_2021-22 and thereafter_Circular (AB2024_C036).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Bioinformatics,生物信息学,72,"required courses, major electives, streams/specializations",Programming and computing ability,Core,CSC3002* C/C++ Programming C/C++程序設計 3; * The course title of CSC3002 is Introduction to Computer Science: Programming Paradigms for; 在 2022-23 學年第二学期及以後修讀 CSC3002，科目名稱為「C/C++程序設計」。,Students are expected to use computational tools or programming to solve disciplinary problems.,Study Scheme - BIM_2021-22 and thereafter_Circular (AB2024_C036).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Bioinformatics,生物信息学,72,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,BIM3008 Machine Learning in Computational Biology 計算生物學中的機器學習 3; BIM3014 Statistical Biological Database and Data; CSC4008 Techniques for Data Mining 數據挖掘技術 3; DDA4210 Advanced Machine Learning 高等機器學習 3; DDA4220 Deep Learning and Applications 深度學習與應用 3,"The programme includes data-centric, digital, analytics, or AI-related training.",Study Scheme - BIM_2021-22 and thereafter_Circular (AB2024_C036).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Bioinformatics,生物信息学,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,[b] 在選擇 BSC6003 時，學生需遵守學校關於本科生修讀研究生科目的相關規定。; CSC1002 Computational Laboratory 計算機實驗 1; BIO2101 Comprehensive Biology Laboratory 綜合生物學實驗 3; BIM3019 Computational Biology Laboratory 計算生物學實驗 2; BIM4003 Student Research and Innovation 學生科技創新項目 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - BIM_2021-22 and thereafter_Circular (AB2024_C036).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Bioinformatics,生物信息学,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,BIO1001 General Biology 普通生物學 3; CHM1001 General Chemistry 普通化學 3; BIM2005 Computational Biology 計算生物學 3; BIM3001 Bioinformatics 生物信息學 3; BIM3008 Machine Learning in Computational Biology 計算生物學中的機器學習 3,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - BIM_2021-22 and thereafter_Circular (AB2024_C036).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Bioinformatics,生物信息学,72,"required courses, major electives, streams/specializations",Practical application and industry readiness,Core,BIO3901 Research Internship I 研究實習（一） 1; BIO3902 Research Internship II 研究實習（二） 1; BIO3903 Research Internship III 研究實習（三） 1; BIO3904 Research Internship IV 研究實習（四） 1,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",Study Scheme - BIM_2021-22 and thereafter_Circular (AB2024_C036).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biomedical Science and Engineering,生物医学工程,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,CSC1001 Introduction to Computer Science:; BME3001 Introduction to Biomedical; ECE2001* Basic Circuit Theory 基本電路理論 3; BME3003 Introduction to Biomedical; ERG4001 Principles of Entrepreneurship 創業原則 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - BME_2023-24 and thereafter_1st(2026)_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biomedical Science and Engineering,生物医学工程,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,MAT1001 Calculus I 微積分（一） 3; MAT2040* Linear Algebra 線性代數 3; STA2001 Probability and Statistics I 概率及統計（一） 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - BME_2023-24 and thereafter_1st(2026)_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biomedical Science and Engineering,生物医学工程,72,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Supporting / Optional,STA2001 Probability and Statistics I 概率及統計（一） 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - BME_2023-24 and thereafter_1st(2026)_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biomedical Science and Engineering,生物医学工程,72,"required courses, major electives, streams/specializations",Programming and computing ability,Supporting / Optional,CSC4001 Software Engineering 軟件工程 3,Students are expected to use computational tools or programming to solve disciplinary problems.,Study Scheme - BME_2023-24 and thereafter_1st(2026)_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biomedical Science and Engineering,生物医学工程,72,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Supporting / Optional,BIM3008 Machine Learning in Computational,"The programme includes data-centric, digital, analytics, or AI-related training.",Study Scheme - BME_2023-24 and thereafter_1st(2026)_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biomedical Science and Engineering,生物医学工程,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,CSC1002 Computational Laboratory 計算機實驗 1; BIO2101 Comprehensive Biology Laboratory 綜合生物學實驗 3; BME4012 BME Final Year Project I 生物醫學工程畢業設計（一） 3; BME4013 BME Final Year Project II 生物醫學工程畢業設計（二） 3; CHM1002 Chemistry Laboratory 化學實驗 1,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - BME_2023-24 and thereafter_1st(2026)_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biomedical Science and Engineering,生物医学工程,72,"required courses, major electives, streams/specializations","Language, textual, and cross-cultural competence",Supporting / Optional,BME4015 Medical Device Translational Design,"Students are expected to work with language, texts, translation, culture, or intercultural meaning.",Study Scheme - BME_2023-24 and thereafter_1st(2026)_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biomedical Science and Engineering,生物医学工程,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,BIO1001 General Biology 普通生物學 3; CHM1001 General Chemistry 普通化學 3; BIO2002 Cell and Molecular Biology 細胞與分子生物學 3; BIO2101 Comprehensive Biology Laboratory 綜合生物學實驗 3; BME3001 Introduction to Biomedical,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - BME_2023-24 and thereafter_1st(2026)_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biomedical Science and Engineering,生物医学工程,72,"required courses, major electives, streams/specializations",Practical application and industry readiness,Core,BIO3901 Research Internship I 研究實習（一） 1; BIO3902 Research Internship II 研究實習（二） 1; BIO3903 Research Internship III 研究實習（三） 1; BIO3904 Research Internship IV 研究實習（四） 1; BME4014 Practical Internship in Biomedical,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",Study Scheme - BME_2023-24 and thereafter_1st(2026)_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biological Sciences,生物科学,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Supporting / Optional,CSC1001 Introduction to Computer Science:; PHM2004 Principles of Pharmacology and,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - BIO_2023-24 and thereafter_1st(2026)_260121_2.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biological Sciences,生物科学,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,MAT1001 Calculus I 微積分（一） 3; MAT2040 Linear Algebra 線性代數 3; STA2001 Probability and Statistics I 概率與統計（一） 3; MAT1002 Calculus II 微積分（二） 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - BIO_2023-24 and thereafter_1st(2026)_260121_2.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biological Sciences,生物科学,72,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Core,STA2001 Probability and Statistics I 概率與統計（一） 3; BIO3201 Biostatistics 生物統計學 3; BIO3301 Biostatistics Laboratory 生物統計學實驗 1,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - BIO_2023-24 and thereafter_1st(2026)_260121_2.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biological Sciences,生物科学,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,CSC1002 Computational Laboratory 計算機實驗 1; BIO2101 Comprehensive Biology Laboratory 綜合生物學實驗 3; BIO2104 Biochemistry Laboratory 生物化學實驗 3; BIO4901 Final Year Research Project I 畢業設計項目（一） 3; BIO4902 Final Year Research Project II 畢業設計項目（二） 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - BIO_2023-24 and thereafter_1st(2026)_260121_2.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biological Sciences,生物科学,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,BIO1001 General Biology 普通生物學 3; CHM1001 General Chemistry 普通化學 3; BIO2001 Bioethics 生物倫理學 1; BIO2002 Cell and Molecular Biology 細胞與分子生物學 3; BIO2004 Biochemistry 生物化學 3,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - BIO_2023-24 and thereafter_1st(2026)_260121_2.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Biological Sciences,生物科学,72,"required courses, major electives, streams/specializations",Practical application and industry readiness,Core,BIO2205 Field Study of Ecology 野外生態實習 2; BIO3901 Research Internship I 研究實習（一） 1; BIO3902 Research Internship II 研究實習（二） 1; BIO3903 Research Internship III 研究實習（三） 1; BIO3904 Research Internship IV 研究實習（四） 1,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",Study Scheme - BIO_2023-24 and thereafter_1st(2026)_260121_2.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electrical and Computer Engineering,电子与计算机工程,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,CSC1003 Introduction to Computer Science; ECE2001 Basic Circuit Theory 基本電路理論 3; ECE3080 Introduction to Embedded Systems 嵌入式系統概論 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - ECE_2024-25_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electrical and Computer Engineering,电子与计算机工程,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Supporting / Optional,Option F# STA2001 Probability and Statistics I 概率及統計（一） 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - ECE_2024-25_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electrical and Computer Engineering,电子与计算机工程,72,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Supporting / Optional,Option F# STA2001 Probability and Statistics I 概率及統計（一） 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - ECE_2024-25_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electrical and Computer Engineering,电子与计算机工程,72,"required courses, major electives, streams/specializations",Programming and computing ability,Supporting / Optional,CSC3100 Data Structures 數據結構 3; CSC3002 C/C++ Programming C/C++程序設計 3,Students are expected to use computational tools or programming to solve disciplinary problems.,Study Scheme - ECE_2024-25_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electrical and Computer Engineering,电子与计算机工程,72,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,"人工智能组: CSC3180, DDA3020, ECE3300, 4320; 人工智能组: CSC3180, 4008, DDA3020; CSC1006 Artificial Intelligence for Science; CSC3100 Data Structures 數據結構 3","The programme includes data-centric, digital, analytics, or AI-related training.",Study Scheme - ECE_2024-25_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electrical and Computer Engineering,电子与计算机工程,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,"Interdisciplinary Extension and Research Group : BIM3001,; Interdisciplinary Extension and Research Group: BIM3001,; 跨學科擴展 组和研究组 :BIM3001, B IO1001, ECO2011,; 跨學科擴展和研究组: BIM3001, BIO1001, ECO2011, ERG4902; CSC1002 Computational Laboratory 計算機實驗 1","Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - ECE_2024-25_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electrical and Computer Engineering,电子与计算机工程,72,"required courses, major electives, streams/specializations","Communication, writing, and presentation",Supporting / Optional,"Communications Group: ECE3050, 4002, 4003; Communications Group: ECE3050, 4002, 4003, 4020","The curriculum cultivates academic, professional, or public communication abilities.",Study Scheme - ECE_2024-25_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electrical and Computer Engineering,电子与计算机工程,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,"數學與物理基礎组: MA T3007, 4006, 4007, PHY2001, 4002, 4003; Option J# CHM1001 General Chemistry 普通化學 3; Option K# CHM1011 Honours General Chemistry 普通化學榮譽課程 3",The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - ECE_2024-25_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electronic Information Engineering,电子信息工程,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,CSC1001 Introduction to Computer Science:; EIE2001 Basic Circuit Theory 基本電路理論 3; EIE3050 Principles of Communication Systems 通信系統原理 3; EIE3080* Introduction to Embedded Systems 嵌入式系統概論 3; CSC3180 Fundamentals of Artificial Intelligence 人工智能之基本原理 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - EIE_2020-21 and 2021-22_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electronic Information Engineering,电子信息工程,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Supporting / Optional,STA2001 Probability and Statistics I 概率及統計（一） 3; CSC3001 Discrete Mathematics 離散數學 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - EIE_2020-21 and 2021-22_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electronic Information Engineering,电子信息工程,72,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Supporting / Optional,STA2001 Probability and Statistics I 概率及統計（一） 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - EIE_2020-21 and 2021-22_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electronic Information Engineering,电子信息工程,72,"required courses, major electives, streams/specializations",Programming and computing ability,Core,CSC3002* C/C++ Programming C/C++程序設計 3; CSC3100 Data Structures 數據結構 3; CSC4001 Software Engineering 軟件工程 3; CSC4005* Parallel Programming 並行程序設計 3; CSC4120 Design and Analysis of Algorithms 算法設計及分析 3,Students are expected to use computational tools or programming to solve disciplinary problems.,Study Scheme - EIE_2020-21 and 2021-22_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electronic Information Engineering,电子信息工程,72,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,CSC3100 Data Structures 數據結構 3; CSC3170 Database System 數據庫系統 3; CSC3180 Fundamentals of Artificial Intelligence 人工智能之基本原理 3; CSC4008 Techniques for Data Mining 數據挖掘技術 3; DDA3020* Machine Learning 機器學習 3,"The programme includes data-centric, digital, analytics, or AI-related training.",Study Scheme - EIE_2020-21 and 2021-22_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electronic Information Engineering,电子信息工程,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,CSC1002 Computational Laboratory 計算機實驗 1; EIE1810 Electronic Circuit Design Laboratory 電子線路設計實驗 1; EIE2810 Digital Systems Design Laboratory 數字系統設計實驗 1; EIE3810* Embedded Systems Laboratory 嵌入式系統實驗 1; ERG4901* Capstone Project Ⅰ 畢業設計（一） 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - EIE_2020-21 and 2021-22_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electronic Information Engineering,电子信息工程,72,"required courses, major electives, streams/specializations","Communication, writing, and presentation",Core,EIE3050 Principles of Communication Systems 通信系統原理 3; EIE4002 Digital Communications 數字通信 3; EIE4003 Wireless Communication Systems 無線通信系統 3; EIE4004 Introduction to Optical Communications 初級光通信學 3; EIE4020 Telecommunication Switching and,"The curriculum cultivates academic, professional, or public communication abilities.",Study Scheme - EIE_2020-21 and 2021-22_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electronic Information Engineering,电子信息工程,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,BIO1001 General Biology 普通生物學 3; CHM1001 General Chemistry 普通化學 3; PHY1002 Physics Laboratory 物理實驗 2; BIM3001 Bioinformatics 生物信息學 3; CSC4001 Software Engineering 軟件工程 3,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - EIE_2020-21 and 2021-22_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Electronic Information Engineering,电子信息工程,72,"required courses, major electives, streams/specializations",Practical application and industry readiness,Core,"ECE4050 Principles and Practices of; EIE4006* Applied Stochastic Processes 應用隨機過程 3; ERG3001 Engineering Ethics, Safety and Practice 工程倫理、安全及實務 3","The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",Study Scheme - EIE_2020-21 and 2021-22_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Economics,经济学,69,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,MGT2020 Principles of Management 管理原理 3; ECO3150 Digital Economics: Theory and; ECO3160 Game Theory and Business Strategy 博弈論與商業戰略 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,study_scheme_-_econ_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Economics,经济学,69,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,MAT1001 Calculus I 微積分（一） 3; DMS3002 Applied Probability and Stochastic; ECO3211 Quantitative Methods for Policy,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",study_scheme_-_econ_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Economics,经济学,69,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Supporting / Optional,ECO3121 Introductory Econometrics 計量經濟學導論 3; ECO4121 Intermediate Econometrics 中級計量經濟學 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",study_scheme_-_econ_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Economics,经济学,69,"required courses, major electives, streams/specializations",Programming and computing ability,Supporting / Optional,BMA2010 Programming for Business 商業編程 3,Students are expected to use computational tools or programming to solve disciplinary problems.,study_scheme_-_econ_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Economics,经济学,69,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,ECO3080 Machine Learning for Business 商業運用中的機器學習 3; ECO3090 Machine Learning for Financial; DMS3003 Data Analytics and Decision Making 數據分析和決策制定 3; ECO3620 Data Analysis and Macroeconomic,"The programme includes data-centric, digital, analytics, or AI-related training.",study_scheme_-_econ_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Economics,经济学,69,"required courses, major electives, streams/specializations",Research and methodological ability,Core,ECO3211 Quantitative Methods for Policy; ECO4270* Thesis in Economics 經濟學论文 3; ECO4280* Thesis in Economics II 經濟學论文 II 3; ECO4312* Directed Research in Economics I 經濟學定向研究 I 3; ECO4313* Directed Research in Economics II 經濟學定向研究 II 2,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",study_scheme_-_econ_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Economics,经济学,69,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,ACT2111 Introductory Financial Accounting 財務會計導論 3; ACT4253 Business Ethics and Corporate Social; DMS2030 Operations Management 運營管理 3; ECO2011 Introductory Microeconomics 微觀經濟學導論 3; FIN2010 Financial Management 財務管理 3,The programme prepares students for specialized disciplinary or professional domains.,study_scheme_-_econ_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Economics,经济学,69,"required courses, major electives, streams/specializations",Practical application and industry readiness,Supporting / Optional,DMS3002 Applied Probability and Stochastic,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",study_scheme_-_econ_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Statistics,统计学,70,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,CSC1001 Introduction to Computer Science:; DDA2001 Introduction to Data Science 數據科學基礎 3; MAT3280 Probability Theory 概率論 3; DDA4250 Mathematical Introduction to Deep; FIN2020 Foundation of Finance 金融學基礎 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,study_scheme_-_stat_2025-26_and_thereafter_circularab2026_c015_2.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Statistics,统计学,70,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,MAT1001 Calculus I 微積分（一） 3; MAT1002 Calculus II 微積分（二） 3; MAT1011 Honours Calculus I 微積分榮譽課程（一） 3; MAT1012 Honours Calculus II 微積分榮譽課程（二） 3; MAT2041 Linear Algebra and Applications 線性代數與應用 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",study_scheme_-_stat_2025-26_and_thereafter_circularab2026_c015_2.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Statistics,统计学,70,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Core,STA3005 Statistical Computing 統計計算 3; STA3020 Statistical Inference 統計推斷 3; STA3042 Statistical Learning 統計學習 3; STA4100 Statistical Inference II 統計推斷（二） 3; DDA4010 Bayesian Statistics 貝葉斯統計 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",study_scheme_-_stat_2025-26_and_thereafter_circularab2026_c015_2.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Statistics,统计学,70,"required courses, major electives, streams/specializations",Programming and computing ability,Core,STA3005 Statistical Computing 統計計算 3; CSC3002 C/C++ Programming C/C++程序設計 3; CSC3100 Data Structures 數據結構 3; CSC4120 Design and Analysis of Algorithms 算法設計及分析 3,Students are expected to use computational tools or programming to solve disciplinary problems.,study_scheme_-_stat_2025-26_and_thereafter_circularab2026_c015_2.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Statistics,统计学,70,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,DDA2001 Introduction to Data Science 數據科學基礎 3; STA4030 Categorical Data Analysis 範疇性數據分析 3; STA4606 Machine Learning for Biomedical; FIN3380* Financial Data Analysis with AI; FMA4200 Financial Data Analysis 金融數據分析 3,"The programme includes data-centric, digital, analytics, or AI-related training.",study_scheme_-_stat_2025-26_and_thereafter_circularab2026_c015_2.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
